id_transaksi,id_user,timestamp,tipe_mutasi,deskripsi_mutasi,catatan_mutasi,mcc,nominal,sisa_saldo,kategori_besar_sistem,kategori_detail_sistem,label_anomali,gt_kategori_besar,gt_kategori_detail
TRX-10139,USR-001,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,3130000.0,3130000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-11261,USR-002,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2200000.0,2200000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10103,USR-003,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,3380000.0,3380000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10469,USR-004,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2890000.0,2890000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-11057,USR-005,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,1580000.0,1580000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10451,USR-006,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2090000.0,2090000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10700,USR-007,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2930000.0,2930000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10502,USR-008,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,3290000.0,3290000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-11147,USR-009,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,2640000.0,2640000.0,Pemasukan,Pendapatan Bulanan,0,,
TRX-10031,USR-010,2026-01-01 07:00:00,Kredit,TRF MASUK - PENDAPATAN TETAP,-,0000,1510000.0,1510000.0,Pemasukan,Pendapatan Bulanan,0,,
