id_transaksi,id_user,timestamp,tipe_mutasi,deskripsi_mutasi,catatan_mutasi,mcc,nominal,sisa_saldo,kategori_besar,kategori_detail,label_anomali,gt_kategori_besar,gt_kategori_detail
TRX-12400,USR-133,2026-01-01 00:00:00,Debit,YOSHINOYA,-,5812,52604.72,4011210.57,Wants,F&B dan Nongkrong,0,Wants,F&B dan Nongkrong
TRX-14568,USR-048,2026-01-01 00:06:00,Debit,MCDONALD'S,-,5814,59101.61,3580268.1,Wants,F&B dan Nongkrong,0,Wants,F&B dan Nongkrong
TRX-13000,USR-455,2026-01-01 00:07:00,Debit,INDOMIE REBUS WARUNG,-,5814,8558.93,23578441.07,Wants,F&B dan Nongkrong,0,Needs,F&B dan Nongkrong
TRX-15679,USR-072,2026-01-01 00:09:00,Debit,ES KELAPA/JAJANAN BUAH,-,5814,9319.13,2193416.23,Wants,F&B dan Nongkrong,0,Wants,F&B dan Nongkrong
TRX-11795,USR-003,2026-01-01 00:15:00,Debit,MIE AYAM ABANG,-,5814,20175.23,3847284.91,Wants,F&B dan Nongkrong,0,Needs,F&B dan Nongkrong
TRX-12797,USR-004,2026-01-01 00:17:00,Debit,MCDONALD'S,-,5814,81883.59,4508116.41,Wants,F&B dan Nongkrong,0,Wants,F&B dan Nongkrong
TRX-12014,USR-484,2026-01-01 00:21:00,Debit,NASI PADANG SEDERHANA,-,5812,17181.21,19697818.79,Wants,F&B dan Nongkrong,0,Needs,F&B dan Nongkrong
TRX-12514,USR-177,2026-01-01 00:25:00,Debit,BREADTALK,-,5814,46896.19,6841103.81,Wants,F&B dan Nongkrong,0,Wants,F&B dan Nongkrong
TRX-12852,USR-429,2026-01-01 00:38:00,Debit,RUMAH MAKAN PADANG,-,5812,50350.09,17423757.15,Wants,F&B dan Nongkrong,0,Needs,F&B dan Nongkrong
TRX-11532,USR-395,2026-01-01 00:41:00,Debit,JANJI JIWA,-,5814,41748.14,9764251.86,Wants,F&B dan Nongkrong,0,Needs,F&B dan Nongkrong
TRX-12573,USR-204,2026-01-01 00:59:00,Debit,CAFE AESTHETIC,-,5814,82741.6,8147401.79,Wants,F&B dan Nongkrong,0,Wants,F&B dan Nongkrong
TRX-13140,USR-146,2026-01-01 01:16:00,Debit,JAJANAN GEROBAK,-,5814,5281.03,3844361.62,Wants,F&B dan Nongkrong,0,Wants,F&B dan Nongkrong
