mcc,deskripsi_mutasi,kategori_detail
0,TRF MASUK - PENDAPATAN TETAP,Pendapatan Bulanan
0,TRF MASUK - SIDE HUSTLE PROJECT,Pemasukan
0,TRF MASUK - HADIAH/GIFT,Pemasukan
0,TRF MASUK - REFUND BELANJA,Pemasukan
0,TRF MASUK - BONUS APRESIASI,Pemasukan
0,TRF MASUK - PROFIT TRADING,Pemasukan
4111,KMT KRL COMMUTER,Transportasi
4121,GRAB INDONESIA,Transportasi
4121,PARKIR,Transportasi
4121,GOJEK INDONESIA,Transportasi
4784,E-TOLL FLAZZ,Transportasi
4814,PAKET DATA,Tagihan & Utilitas
4829,REKENING TEMAN,Transfer P2P
4899,YOUTUBE PREMIUM,Hiburan & Langganan
4899,SPOTIFY,Hiburan & Langganan
4899,NETFLIX,Hiburan & Langganan
4900,PLN MOBILE,Tagihan & Utilitas
4900,PDAM,Tagihan & Utilitas
4900,INDIHOME,Tagihan & Utilitas
5111,FOTOKOPI & PRINT,Groceries & Kebutuhan Pokok
5311,TOKOPEDIA,Belanja Online & Fashion
5311,SHOPEE,Belanja Online & Fashion
5311,AKSESORIS HP ONLINE,Belanja Online & Fashion
5411,INDOMARET,Groceries & Kebutuhan Pokok
5411,ALFAMART,Groceries & Kebutuhan Pokok
5411,SUPERINDO,Groceries & Kebutuhan Pokok
5499,GALON & GAS,Groceries & Kebutuhan Pokok
5541,SPBU PERTAMINA,Transportasi
5541,SHELL INDONESIA,Transportasi
5651,ZARA INDONESIA,Belanja Online & Fashion
5651,THRIFT SHOP IG/TIKTOK,Belanja Online & Fashion
5651,UNIQLO INDONESIA,Belanja Online & Fashion
5734,NOTION,Produktivitas & Digital
5734,E-READER/WEBTOON,Produktivitas & Digital
5734,FOTO STOCK ONLINE,Produktivitas & Digital
5734,STICKER TELEGRAM/WA,Belanja Online & Fashion
5734,CANVA PRO,Produktivitas & Digital
5734,ICLOUD/GOOGLE ONE,Tagihan & Utilitas
5812,WARTEG,F&B dan Nongkrong
5812,SUSHI TEI,F&B dan Nongkrong
5812,RUMAH MAKAN PADANG,F&B dan Nongkrong
5812,GYU-KAKU AYCE,F&B dan Nongkrong
5812,NASI KUNING BU NUNUNG,F&B dan Nongkrong
5814,TEH TARIK PINGGIR JALAN,F&B dan Nongkrong
5814,MIXUE INDONESIA,F&B dan Nongkrong
5814,MIE GACOAN,F&B dan Nongkrong
5814,STARBUCKS,F&B dan Nongkrong
5814,KOPI KENANGAN,F&B dan Nongkrong
5814,JAJANAN GEROBAK,F&B dan Nongkrong
5814,CAFE AESTHETIC,F&B dan Nongkrong
5814,ES TEH KAMPUS,F&B dan Nongkrong
5912,APOTEK KIMIA FARMA,Kesehatan & Perawatan Diri
5977,SOCIOLLA,Belanja Online & Fashion
5977,WATSONS/GUARDIAN,Groceries & Kebutuhan Pokok
6012,KPR BANK,Tagihan & Utilitas
6012,CICILAN MOBIL,Transportasi
6012,TABUNGAN EMAS PEGADAIAN,Investasi & Finansial
6012,EMAS DIGITAL INDOGOLD,Investasi & Finansial
6211,MIRAE ASSET,Investasi & Finansial
6211,STOCKBIT,Investasi & Finansial
6211,BIBIT REKSADANA,Investasi & Finansial
6211,REKSADANA BAREKSA,Investasi & Finansial
6211,KRIPTO PLUANG,Investasi & Finansial
6211,ORI/SUKUK RITEL,Investasi & Finansial
6211,INDODAX,Investasi & Finansial
6211,PT INDO PREMIER SEKURITAS,Investasi & Finansial
6211,TOKOCRYPTO,Investasi & Finansial
6211,AJAIB SEKURITAS,Investasi & Finansial
6300,ASURANSI JIWA,Kesehatan & Perawatan Diri
6513,BIAYA KOSAN BULANAN,Tagihan & Utilitas
6540,OVO/DANA/GOPAY,Transfer P2P
7210,LAUNDRY KILOAN,Tagihan & Utilitas
7538,BENGKEL MOTOR,Transportasi
7832,TIX.ID / KONSER,Hiburan & Langganan
7832,CGV CINEMAS,Hiburan & Langganan
7997,FITHUB/GYM,Kesehatan & Perawatan Diri
7999,TIMEZONE,Hiburan & Langganan
7999,STEAM/VALORANT,Hiburan & Langganan
8099,BPJS KESEHATAN,Kesehatan & Perawatan Diri
8099,KLINIK PRATAMA,Kesehatan & Perawatan Diri
8099,HALODOC/ALODOKTER,Kesehatan & Perawatan Diri
8220,UKT KAMPUS,Tagihan & Utilitas
